"Rank","Player","TACKLE","ASSIST","SACK","TFL","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"1","Myles Garrett (CLE)","43","17","23","33","1","0","3","0","0","17","265.5","15.6","88.2%"
"2","Brian Burns (NYG)","39","28","16.5","22","7","0","3","1","0","17","227.4","13.4","70.8%"
"3","Maxx Crosby (LV)","45","28","10","28","6","1","2","0","0","15","220.9","14.7","81.2%"
"4","Will Anderson Jr. (HOU)","35","19","12","20","3","0","3","2","1","17","195.5","11.5","73.7%"
"5","Aidan Hutchinson (DET)","36","18","14.5","14","3","1","4","1","0","17","190.3","11.2","76.9%"
"6","Jeffery Simmons (TEN)","39","28","11","17","3","0","3","0","0","15","183.1","12.2","70.4%"
"7","Danielle Hunter (HOU)","28","26","15","15","3","0","3","1","0","17","179.8","10.6","56.0%"
"8","Byron Young (LAR)","45","37","12","12","0","0","1","0","0","17","177.7","10.5","45.8%"
"9","Tuli Tuipulotu (LAC)","33","12","13","20","3","0","2","1","0","16","177.4","11.1","46.2%"
"10","Montez Sweat (CHI)","36","17","10","13","5","0","3","1","0","17","163.1","9.6","29.8%"
"11","Nik Bonitto (DEN)","31","15","14","14","1","0","2","0","0","17","158.7","9.3","53.4%"
"12","Cameron Jordan (NO)","32","15","10.5","15","2","0","2","1","0","17","154.1","9.1","7.9%"
"13","Jared Verse (LAR)","35","24","7.5","11","1","0","3","0","0","17","148.0","8.7","52.6%"
"14","Dallas Turner (MIN)","27","35","8","11","3","0","4","0","0","17","147.3","8.7","33.5%"
"15","DeMarcus Lawrence (SEA)","24","29","6","11","1","0","3","3","2","16","147.1","9.2","19.3%"
