PLAYER,POS,TEAM,GAMES,SNAPS,SNAPS/GM,SNAP %,RUSH %,TGT %,TOUCH %,UTIL %,FANTASY PTS,PTS/100 SNAPS
Grant Calcaterra,TE,PHI,15,380,25,40,0,3,2,3,13.6,3.6
Ian Thomas,TE,LV,15,318,21,35,0,4,4,4,11.4,3.6
Luke Schoonmaker,TE,DAL,17,391,23,33,0,6,4,6,13.2,3.4
Dont'e Thornton Jr.,WR,LV,15,399,27,45,0,8,3,8,13.5,3.4
John Bates,TE,WAS,15,479,32,51,0,3,2,3,16.3,3.4
Noah Gray,TE,KC,16,545,34,52,0,7,4,7,17.8,3.3
Ray-Ray McCloud III,WR,NYG,6,211,35,52,0,7,3,7,6.9,3.3
Mason Tipton,WR,NO,13,297,23,35,1,6,5,7,9.4,3.2
Jakobie Keeney-James,WR,GB,1,48,48,94,0,4,4,4,1.5,3.1
Cade Stover,TE,HOU,9,263,29,44,2,6,6,8,7.9,3.0
Johnny Mundt,TE,JAC,16,389,24,36,0,5,2,5,11.1,2.9
Drew Sample,TE,CIN,17,595,35,54,0,3,3,4,16.9,2.8
Anthony Firkser,TE,DET,7,187,27,40,0,5,4,5,5.3,2.8
Xavier Weaver,WR,ARI,9,272,30,45,0,5,3,5,6.7,2.5
Nick Westbrook-Ikhine,WR,MIA,15,386,26,44,0,5,3,5,8.9,2.3
Foster Moreau,TE,NO,11,253,23,35,0,4,3,4,5.9,2.3
Cedrick Wilson Jr.,WR,MIA,10,206,21,35,0,4,2,4,4.4,2.1
Jalin Hyatt,WR,NYG,7,171,24,34,0,8,3,8,3.5,2.0
Tip Reiman,TE,ARI,4,98,25,37,0,5,3,5,1.8,1.8
Eric Saubert,TE,SEA,11,276,25,40,0,3,1,3,5.1,1.8
Alec Ingold,RB,MIA,17,363,21,37,1,3,3,4,6.1,1.7
Arian Smith,WR,NYJ,16,376,24,38,1,4,3,5,6.5,1.7
Shane Zylstra,TE,DET,5,164,33,48,0,3,2,3,2.0,1.2
Andre Baccellia,WR,ARI,4,92,23,32,0,4,2,4,0.8,0.9
Charlie Woerner,TE,ATL,17,565,33,52,0,2,1,2,4.8,0.8
Tucker Fisk,TE,LAC,10,233,23,34,0,2,1,2,1.9,0.8
Drake Dabney,TE,GB,2,52,26,53,0,4,2,4,0.3,0.6
Patrick Ricard,RB,BAL,11,274,25,41,0,1,1,1,1.1,0.4
Payne Durham,TE,TB,17,354,21,31,0,1,0,1,1.1,0.3
Russell Gage Jr.,WR,SF,1,28,28,37,0,0,0,0,0.0,0.0
