,,,,Redraft,,Dynasty,Health Report,
Rank,Name,Team,Pos,Underdog,Sleeper,Sleeper,Status,Injury
T350,Ethan Garbers,FA,QB,-,-,-,,
T350,Jimmy Garoppolo,FA,QB,216.00,-,-,,
T350,Mike Glennon,FA,QB,-,-,-,,
T350,Kevin Davidson,FA,QB,-,-,-,,
T350,Hunter Dekkers,NO,QB,-,-,-,,
T350,Tim DeMorat,FA,QB,-,-,-,,
T350,Tommy DeVito,NE,QB,-,-,-,,
T350,Ben DiNucci,FA,QB,-,-,-,,
T350,Joshua Dobbs,FA,QB,-,-,-,,
T350,Jeff Driskel,FA,QB,-,-,-,,
T350,Kyron Drones,GB,QB,-,-,-,,
T350,Max Duggan,FA,QB,-,-,-,,
T350,Sam Ehlinger,DEN,QB,-,-,-,,
T350,Quinn Ewers,MIA,QB,216.00,-,448.30,,
T350,Danny Ezechukwu,FA,QB,-,-,-,,
T350,Joe Fagnano,BAL,QB,-,-,-,,
T350,Cody Fajardo,FA,QB,-,-,-,,
T350,Luke Altmyer,DET,QB,-,-,-,,
T350,Drew Anderson,FA,QB,-,-,-,,
T350,Zack Annexstad,FA,QB,-,-,-,,
T350,Austin Aune,FA,QB,-,-,-,,
T350,Tyson Bagent,CHI,QB,216.00,-,535.50,,
T350,Matt Barkley,FA,QB,-,-,-,,
T350,Connor Bazelak,TB,QB,-,-,-,,
T350,Jason Bean,FA,QB,-,-,-,,
T350,C.J. Beathard,FA,QB,-,-,-,,
T350,Stetson Bennett,LAR,QB,-,-,-,,
T350,James Blackman,FA,QB,-,-,-,,
T350,Ian Book,FA,QB,-,-,-,,
T350,Anthony Boone,FA,QB,-,-,-,,
T350,Tim Boyle,FA,QB,-,-,-,,
T350,Carter Bradley,JAX,QB,-,-,-,,
T350,Teddy Bridgewater,DET,QB,216.00,-,-,,
T350,Chris Naggar,FA,K,-,-,292.60,,
T350,Brayden Narveson,FA,K,-,-,-,,
T350,Justin Rohrwasser,FA,K,-,-,-,,
T350,Parker Romo,FA,K,-,-,296.10,,
T350,Taylor Russolino,FA,K,-,-,457.00,,
T350,Chad Ryland,ARI,K,-,-,395.50,,
T350,Jason Sanders,NYJ,K,-,-,396.00,,
T350,Ryan Santoso,FA,K,-,-,-,,
T350,Ben Sauls,NYG,K,-,-,540.00,,
T350,Nick Sciba,FA,K,-,-,304.10,,
T350,Austin Seibert,FA,K,-,-,-,,
T350,Mason Shipley,FA,K,-,-,-,,
T350,Spencer Shrader,IND,K,-,-,424.80,,
T350,Caleb Shudak,FA,K,-,-,299.40,,
T350,Sam Sloman,FA,K,-,-,453.50,,
T350,Brandon McManus,FA,K,-,-,-,,
T350,Mike Meyer,FA,K,-,-,-,,
T350,JJ Molson,FA,K,-,-,464.50,,
T350,Jake Moody,WAS,K,-,-,437.70,,
T350,Trevor Moore,FA,K,-,-,-,,
T350,Cole Murphy,FA,K,-,-,-,,
T350,Mike Nugent,FA,K,-,-,482.50,,
T350,Cody Parkey,FA,K,-,-,-,,
T350,Riley Patterson,MIA,K,-,-,346.90,,
T350,Gabriel Plascencia,FA,K,-,-,-,,
T350,Jack Podlesny,FA,K,-,-,-,,
T350,B.T. Potter,TB,K,-,-,-,,
T350,Matt Prater,FA,K,-,-,-,,
T350,Alex Quevedo,FA,K,-,-,-,,
T350,Jose Borregales,FA,K,-,-,417.40,,
T350,Luke Drzewiecki,FA,K,-,-,-,,
T350,Christopher Dunn,FA,K,-,-,446.50,,
T350,Dominik Eberle,FA,K,-,-,444.00,,
T350,Matt McCrane,FA,K,-,-,-,,
T350,John Lunsford,FA,K,-,-,-,,
T350,Austin MacGinnis,FA,K,-,-,479.50,,
T350,Brett Maher,FA,K,-,-,-,,
T350,Laith Marjan,PIT,K,-,-,-,,
T350,Kansei Matsuzawa,LV,K,-,-,497.50,,
T350,Jude McAtamney,FA,K,-,-,-,,
T350,Tucker McCann,FA,K,-,-,466.00,,
T350,John Baron,FA,K,-,-,-,,
T350,Michael Badgley,FA,K,-,-,-,,
T350,Taylor Bertolet,FA,K,-,-,-,,
T350,Rodrigo Blankenship,FA,K,-,-,379.00,,
T350,Chris Blewitt,FA,K,-,-,-,,
T350,Anders Carlson,FA,K,-,-,-,,
T350,Daniel Carlson,FA,K,-,-,-,,
T350,Sergio Castillo,FA,K,-,-,449.50,,
T350,Ryan Coe,FA,K,-,-,-,,
T350,Caden Davis,FA,K,-,-,-,,
T350,Gabe Brkic,FA,K,-,-,313.90,,
T350,Jonathan Brown,FA,K,-,-,-,,
T350,Tanner Brown,NO,K,-,-,-,,
T350,Randy Bullock,FA,K,-,-,-,,
T350,Will Ferrin,FA,K,-,-,-,,
T350,Ryan Fitzgerald,CAR,K,-,-,415.40,,
T350,Nick Folk,ATL,K,-,-,354.30,,
T350,Kai Forbath,FA,K,-,-,-,,
T350,Chris Freeman,FA,K,-,-,-,,
T350,Elliott Fry,FA,K,-,-,-,,
T350,Graham Gano,FA,K,-,-,-,Ques,Neck
T350,Jonathan Garibay,FA,K,-,-,307.00,,
T350,Matt Gay,LV,K,-,-,352.50,,
T350,Zane Gonzalez,MIA,K,-,-,-,,
T350,Blake Grupe,IND,K,-,-,-,,
T350,Lirim Hajrullahu,FA,K,-,-,-,,
T350,Alex Hale,FA,K,-,-,-,,
T350,Clayton Hatfield,FA,K,-,-,-,,
T350,Blake Haubeil,FA,K,-,-,427.90,,
T350,Lucas Havrisik,FA,K,-,-,250.90,,
T350,Cole Hedlund,FA,K,-,-,-,,
T350,Dustin Hopkins,FA,K,-,-,-,,
T350,John Hoyland,FA,K,-,-,-,,
T350,Brian Johnson,FA,K,-,-,301.30,,
T350,Greg Joseph,FA,K,-,-,-,,
T350,Joshua Karty,FA,K,-,-,-,,
T350,Alex Kessman,FA,K,-,-,349.60,,
T350,Jonathan Kim,FA,K,-,-,-,,
T350,Younghoe Koo,FA,K,-,-,419.20,,
T350,Lenny Krieg,FA,K,-,-,-,,
T350,Josh Lambo,FA,K,-,-,-,,
T350,Drew Stevens,WAS,K,-,-,-,,
T350,Andre Szmyt,CLE,K,-,-,-,,
T350,Matthew Trickett,FA,K,-,-,-,,
T350,Maddux Trujillo,FA,K,-,-,-,,
T350,Justin Tucker,FA,K,-,-,-,,
T350,James Turner,FA,K,-,-,-,,
T350,Jake Verity,FA,K,-,-,348.10,,
T350,Tristan Vizcaino,FA,K,-,-,-,,
T350,Nick Vogel,FA,K,-,-,-,,
T350,Parker White,FA,K,-,-,291.30,,
T350,Trey Wolff,FA,K,-,-,-,,
T350,Matthew Wright,FA,K,-,-,-,,
T350,Cade York,NYJ,K,-,-,257.80,,
T350,Greg Zuerlein,FA,K,-,-,-,Ques,Knee
T350,Dominic Zvada,NYG,K,-,-,411.40,,
T350,Yasir Abdullah,JAX,LB,-,-,-,,
T350,Matthew Adams,FA,LB,-,-,-,,
T350,Mitchell Agude,FA,LB,-,-,-,,
T350,Austin Ajiake,IND,LB,-,-,-,,
T350,Azeez Al-Shaair,HOU,LB,-,-,-,,
T350,Christian Albright,FA,LB,-,-,-,,
T350,Jaylan Alexander,FA,LB,-,-,-,,
T350,Kwon Alexander,FA,LB,-,-,-,,
T350,CJ Allen,IND,LB,-,-,-,,
T350,Dakota Allen,FA,LB,-,-,-,,
T350,Troy Andersen,ATL,LB,-,-,-,PUP-P,Knee
T350,Liam Anderson,CIN,LB,-,-,-,,
T350,Joe Andreessen,BUF,LB,-,-,-,,
T350,Andrew Ankrah,FA,LB,-,-,-,,
T350,Alex Anzalone,TB,LB,-,-,-,,
T350,Kam Arnold,KC,LB,-,-,-,,
T350,Brian Asamoah,FA,LB,-,-,-,Ques,Knee
T350,C. J. Avery,FA,LB,-,-,-,,
T350,Joe Bachie,DET,LB,-,-,-,,
T350,Levelle Bailey,DEN,LB,-,-,-,,
T350,Markus Bailey,FA,LB,-,-,-,,
T350,Wesley Bailey,LAR,LB,-,-,-,,
T350,Rueben Bain,TB,LB,-,-,-,,
T350,Jerome Baker,FA,LB,-,-,-,,
T350,Keshawn Banks,ATL,LB,-,-,-,,
T350,Shad Banks,TEN,LB,-,-,-,,
T350,Jaishawn Barham,DAL,LB,-,-,-,,
T350,Derrick Barnes,DET,LB,-,-,-,,
T350,Krys Barnes,FA,LB,-,-,-,,
T350,Zaire Barnes,NYG,LB,-,-,-,,
T350,Amare Barno,FA,LB,-,-,-,Ques,Knee
T350,Michael Barrett,FA,LB,-,-,-,,
T350,Shaquil Barrett,FA,LB,-,-,-,,
T350,Justin Barron,DAL,LB,-,-,-,,
T350,Jared Bartlett,JAX,LB,-,-,-,,
T350,Cody Barton,TEN,LB,-,-,-,,
T350,Lander Barton,LAC,LB,-,-,-,,
T350,Boogie Basham,FA,LB,-,-,-,,
T350,Jeffrey Bassa,KC,LB,-,-,-,,
T350,Tyler Batty,MIN,LB,-,-,-,,
T350,Zack Baun,PHI,LB,-,-,-,,
T350,Quinton Bell,SF,LB,-,-,-,,
T350,Nick Bellore,WAS,LB,-,-,-,Reserve-Ret,Personal
T350,Ja'Whaun Bentley,FA,LB,-,-,-,,
T350,Terrel Bernard,BUF,LB,-,-,-,,
T350,JD Bertrand,ATL,LB,-,-,-,,
T350,Tatum Bethune,SF,LB,-,-,-,Ques,Groin
T350,Ezekiel Bigger,FA,LB,-,-,-,,
T350,Wesley Bissainthe,KC,LB,-,-,-,,
T350,Kendrick Blackshire,FA,LB,-,-,-,,
T350,Chris Board,FA,LB,-,-,-,Ques,Chest
T350,Bryce Boettcher,IND,LB,-,-,-,,
T350,Curtis Bolton,FA,LB,-,-,-,,
T350,Nick Bolton,KC,LB,-,-,-,,
T350,Nik Bonitto,DEN,LB,-,-,-,,
T350,Jordan Botelho,FA,LB,-,-,-,,
T350,Tyus Bowser,FA,LB,-,-,-,,
T350,Swayze Bozeman,CIN,LB,-,-,-,,
T350,Nigel Bradham,FA,LB,-,-,-,,
T350,William Bradley-King,SF,LB,-,-,-,IR,Undisclosed
T350,Chris Braswell,TB,LB,-,-,-,,
T350,K.J. Britt,NE,LB,-,-,-,,
T350,Jordyn Brooks,MIA,LB,-,-,-,,
T350,Cam Brown,FA,LB,-,-,-,,
T350,Elliott Brown,ARI,LB,-,-,-,,
T350,Sean Brown,TEN,LB,-,-,-,,
T350,Baron Browning,ARI,LB,-,-,-,,
T350,Carson Bruener,PIT,LB,-,-,-,,
T350,Teddye Buchanan,BAL,LB,-,-,-,PUP-P,Knee - ACL
T350,John Bullock,TB,LB,-,-,-,,
T350,Oren Burks,CIN,LB,-,-,-,,
T350,Amari Burney,FA,LB,-,-,-,,
T350,Brian Burns,NYG,LB,-,-,-,,
T350,Devin Bush,CHI,LB,-,-,-,,
T350,Chance Campbell,PHI,LB,-,-,-,,
T350,De'Vondre Campbell,FA,LB,-,-,-,,
T350,Jack Campbell,DET,LB,-,-,-,,
T350,Jihaad Campbell,PHI,LB,-,-,-,,
T350,Jaylon Carlies,IND,LB,-,-,-,,
T350,Daylan Carnell,FA,LB,-,-,-,,
T350,Owen Carney,FA,LB,-,-,-,,
T350,Abdul Carter,NYG,LB,-,-,-,Ques,Ankle
T350,Barrett Carter,CIN,LB,-,-,-,,
T350,Lorenzo Carter,FA,LB,-,-,-,,
T350,Blake Cashman,MIN,LB,-,-,-,,
T350,K'Lavon Chaisson,WAS,LB,-,-,-,,
T350,Tahj Chambers,IND,LB,-,-,-,,
T350,Chaz Chambliss,MIN,LB,-,-,-,,
T350,Leo Chenal,WAS,LB,-,-,-,,
T350,Claudin Cherelus,CAR,LB,-,-,-,,
T350,Cole Christiansen,KC,LB,-,-,-,,
T350,Jimmy Ciarlo,BUF,LB,-,-,-,,
T350,Damone Clark,DET,LB,-,-,-,,
T350,Jack Cochrane,KC,LB,-,-,-,,
T350,Jordan Colbert,FA,LB,-,-,-,Ques,Neck
T350,DJ Coleman,FA,LB,-,-,-,,
T350,Zaven Collins,ARI,LB,-,-,-,,
T350,Junior Colson,LAC,LB,-,-,-,Ques,Shoulder
T350,Branson Combs,JAX,LB,-,-,-,,
T350,Edgerrin Cooper,GB,LB,-,-,-,,
T350,Jonathon Cooper,DEN,LB,-,-,-,,
T350,Carter Coughlin,FA,LB,-,-,-,,
T350,Brenton Cox,GB,LB,-,-,-,,
T350,Keyron Crawford,LV,LB,-,-,-,,
T350,Jordan Crook,FA,LB,-,-,-,,
T350,Maxx Crosby,LV,LB,-,-,-,,
T350,Zach Cunningham,FA,LB,-,-,-,Ques,Hamstring
T350,Kendal Daniels,ATL,LB,-,-,-,,
T350,Lavonte David,FA,LB,-,-,-,,
T350,Demario Davis,NYJ,LB,-,-,-,,
T350,Jamin Davis,PIT,LB,-,-,-,,
T350,Akeem Davis-Gaither,IND,LB,-,-,-,,
T350,Divine Deablo,ATL,LB,-,-,-,,
T350,Nakobe Dean,LV,LB,-,-,-,,
T350,Dominic Deluca,BAL,LB,-,-,-,,
T350,SirVocea Dennis,TB,LB,-,-,-,,
T350,Dani Dennis-Sutton,GB,LB,-,-,-,,
T350,Mohamoud Diabate,TEN,LB,-,-,-,,
T350,Yaya Diaby,TB,LB,-,-,-,,
T350,Xzavier Dickson,FA,LB,-,-,-,,
T350,Fadil Diggs,NO,LB,-,-,-,,
T350,Victor Dimukeje,FA,LB,-,-,-,,
T350,Jack Dingle,CIN,LB,-,-,-,,
T350,Stephen Dix,FA,LB,-,-,-,,
T350,Tyrel Dodson,MIA,LB,-,-,-,,
T350,Shaun Dolac,LAR,LB,-,-,-,Ques,Knee - PCL
T350,Jaden Dugger,SF,LB,-,-,-,,
T350,Khalid Duke,FA,LB,-,-,-,,
T350,Bud Dupree,LAC,LB,-,-,-,,
T350,Landis Durham,FA,LB,-,-,-,,
T350,Troy Dye,LAC,LB,-,-,-,,
T350,Kenny Dyson,FA,LB,-,-,-,,
T350,Arnold Ebiketie,PHI,LB,-,-,-,,
T350,Tremaine Edmunds,NYG,LB,-,-,-,,
T350,T.J. Edwards,CHI,LB,-,-,-,NFI-A,Calf
T350,Sam Eguavoen,FA,LB,-,-,-,,
T350,Tommy Eichenberg,LV,LB,-,-,-,,
T350,Milo Eifler,FA,LB,-,-,-,,
T350,Kaleb Elarms-Orr,BUF,LB,-,-,-,,
T350,Keyshaun Elliott,CHI,LB,-,-,-,PUP-P,Undisclosed
T350,Christian Elliss,NE,LB,-,-,-,,
T350,Jonah Elliss,DEN,LB,-,-,-,,
T350,Kaden Elliss,NO,LB,-,-,-,,
T350,Kingsley Enagbare,NYJ,LB,-,-,-,,
T350,Rashaan Evans,FA,LB,-,-,-,,
T350,Donovan Ezeiruaku,DAL,LB,-,-,-,,
T350,Andrew Farmer,SF,LB,-,-,-,IR,Back
T350,Olakunle Fatukasi,FA,LB,-,-,-,,
T350,Tony Fields,CHI,LB,-,-,-,,
T350,Aiden Fisher,HOU,LB,-,-,-,,
T350,Demetrius Flannigan-Fowles,BUF,LB,-,-,-,,
T350,Jaylan Ford,NO,LB,-,-,-,,
T350,Trace Ford,NYG,LB,-,-,-,,
T350,Caden Fordham,TB,LB,-,-,-,,
T350,Dante Fowler,SEA,LB,-,-,-,,
T350,Tomon Fox,LAR,LB,-,-,-,,
T350,Zaire Franklin,GB,LB,-,-,-,,
T350,Theron Gaines,BUF,LB,-,-,-,,
T350,Dallas Gant,FA,LB,-,-,-,,
T350,Jake Ganus,FA,LB,-,-,-,,
T350,Dennis Gardeck,JAX,LB,-,-,-,,
T350,Rashan Gary,DAL,LB,-,-,-,,
T350,Willie Gay,MIA,LB,-,-,-,,
T350,Ali Gaye,HOU,LB,-,-,-,,
T350,Eric Gentry,CIN,LB,-,-,-,,
T350,Brandon George,FA,LB,-,-,-,,
T350,Jack Gibbens,ARI,LB,-,-,-,,
T350,Luke Gifford,SF,LB,-,-,-,,
T350,Joe Giles-Harris,CIN,LB,-,-,-,,
T350,Cam Gill,CAR,LB,-,-,-,,
T350,Trevis Gipson,CAR,LB,-,-,-,,
T350,Jake Golday,MIN,LB,-,-,-,,
T350,Chauncey Golston,NYG,LB,-,-,-,,
T350,Cameron Goode,MIA,LB,-,-,-,,
T350,Brandon Graham,FA,LB,-,-,-,,
T350,Jalen Graham,SF,LB,-,-,-,,
T350,Cedric Gray,TEN,LB,-,-,-,,
T350,Mike Green,BAL,LB,-,-,-,,
T350,Jonathan Greenard,PHI,LB,-,-,-,PUP-P,Pectoral
T350,Dre Greenlaw,SF,LB,-,-,-,,
T350,Antonio Grier,FA,LB,-,-,-,Ques,Undisclosed
T350,Kamu Grugier-Hill,FA,LB,-,-,-,,
T350,Derick Hall,SEA,LB,-,-,-,,
T350,Dominique Hampton,FA,LB,-,-,-,,
T350,Nick Hampton,CAR,LB,-,-,-,,
T350,Jake Hansen,HOU,LB,-,-,-,Ques,Ankle
T350,Aaron Hansford,FA,LB,-,-,-,,
T350,Daniel Hardy,CHI,LB,-,-,-,,
T350,Jaylen Harrell,TEN,LB,-,-,-,,
T350,Charles Harris,FA,LB,-,-,-,,
T350,Christian Harris,ATL,LB,-,-,-,,
T350,Connor Harris,FA,LB,-,-,-,,
T350,Darius Harris,FA,LB,-,-,-,Ques,Undisclosed
T350,Demone Harris,FA,LB,-,-,-,,
T350,Malik Harrison,PIT,LB,-,-,-,,
T350,Ronnie Harrison,MIA,LB,-,-,-,,
T350,Marquis Haynes,FA,LB,-,-,-,,
T350,Romello Height,SF,LB,-,-,-,Ques,Elbow
T350,Daiyan Henley,LAC,LB,-,-,-,,
T350,Nick Herbig,PIT,LB,-,-,-,,
T350,Neville Hewitt,FA,LB,-,-,-,,
T350,Shaka Heyward,CIN,LB,-,-,-,,
T350,Clarence Hicks,FA,LB,-,-,-,,
T350,Jordan Hicks,FA,LB,-,-,-,,
T350,Jay Higgins,BAL,LB,-,-,-,,
T350,Alex Highsmith,PIT,LB,-,-,-,,
T350,Anthony Hill,TEN,LB,-,-,-,,
T350,Jamal Hill,HOU,LB,-,-,-,Ques,Wrist
T350,Nikhal Hill-Green,FA,LB,-,-,-,,
T350,Cole Holcomb,PIT,LB,-,-,-,,
T350,Ty'Ron Hopper,GB,LB,-,-,-,,
T350,James Houston,DAL,LB,-,-,-,,
T350,Justin Houston,FA,LB,-,-,-,,
T350,Khaleke Hudson,FA,LB,-,-,-,,
T350,Parker Hughes,JAX,LB,-,-,-,,
T350,Andrzej Hughes-Murray,FA,LB,-,-,-,,
T350,Jake Hummel,HOU,LB,-,-,-,,
T350,Jalyx Hunt,PHI,LB,-,-,-,,
T350,Danielle Hunter,HOU,LB,-,-,-,,
T350,Erick Hunter,DET,LB,-,-,-,,
T350,Ruben Hyppolite,CHI,LB,-,-,-,,
T350,Thomas Incoom,CAR,LB,-,-,-,Ques,Shoulder
T350,Adisa Isaac,BAL,LB,-,-,-,,
T350,Jared Ivey,SEA,LB,-,-,-,,
T350,Brennan Jackson,LV,LB,-,-,-,,
T350,D'Marco Jackson,CHI,LB,-,-,-,,
T350,Drake Jackson,WAS,LB,-,-,-,,
T350,Nick Jackson,TB,LB,-,-,-,,
T350,Storey Jackson,FA,LB,-,-,-,,
T350,Curtis Jacobs,FA,LB,-,-,-,,
T350,Khalil Jacobs,NE,LB,-,-,-,,
T350,Shemar James,DAL,LB,-,-,-,,
T350,Justin Jefferson,CLE,LB,-,-,-,,
T350,Keonta Jenkins,BUF,LB,-,-,-,,
T350,Anfernee Jennings,NO,LB,-,-,-,,
T350,Josey Jewell,FA,LB,-,-,-,Ques,Concussion
T350,Buddy Johnson,LV,LB,-,-,-,,
T350,Caleb Johnson,FA,LB,-,-,-,Ques,Shoulder
T350,Deandre Johnson,FA,LB,-,-,-,,
T350,Dyontae Johnson,FA,LB,-,-,-,,
T350,Emany Johnson,LAC,LB,-,-,-,,
T350,Jamon Johnson,FA,LB,-,-,-,,
T350,Patrick Johnson,LV,LB,-,-,-,,
T350,Cam Jones,FA,LB,-,-,-,,
T350,Carl Jones,BAL,LB,-,-,-,,
T350,Deion Jones,FA,LB,-,-,-,,
T350,Dre'Mont Jones,NE,LB,-,-,-,,
T350,Ernest Jones,SEA,LB,-,-,-,,
T350,Patrick Jones,CAR,LB,-,-,-,,
T350,Truman Jones,TEN,LB,-,-,-,,
T350,Vi Jones,FA,LB,-,-,-,,
T350,Ale Kaho,WAS,LB,-,-,-,,
T350,Mikail Kamara,SF,LB,-,-,-,IR,Knee
T350,Mohamed Kamara,TB,LB,-,-,-,,
T350,Khalid Kareem,NYG,LB,-,-,-,,
T350,Jack Kelly,NYG,LB,-,-,-,,
T350,Nyjalik Kelly,GB,LB,-,-,-,,
T350,Keith Kelsey,FA,LB,-,-,-,,
T350,Eric Kendricks,FA,LB,-,-,-,,
T350,Mychal Kendricks,FA,LB,-,-,-,,
T350,Kyle Kennard,LAC,LB,-,-,-,,
T350,Arden Key,IND,LB,-,-,-,,
T350,Austin Keys,ARI,LB,-,-,-,,
T350,Isiah King,FA,LB,-,-,-,,
T350,Kobe King,NYJ,LB,-,-,-,IR,Undisclosed
T350,Niles King,FA,LB,-,-,-,,
T350,Jack Kiser,JAX,LB,-,-,-,Ques,Knee
T350,Demetrius Knight,CIN,LB,-,-,-,,
T350,Tyrice Knight,SEA,LB,-,-,-,,
T350,Jamree Kromah,CHI,LB,-,-,-,,
T350,Jackson Kuwatch,CAR,LB,-,-,-,,
T350,William Kwenkeu,FA,LB,-,-,-,,
T350,Nate Landman,LAR,LB,-,-,-,,
T350,Harold Landry,NE,LB,-,-,-,PUP-P,Undisclosed
T350,DeMarcus Lawrence,SEA,LB,-,-,-,,
T350,Malachi Lawrence,DAL,LB,-,-,-,,
T350,Carl Lawson,FA,LB,-,-,-,,
T350,Deontae Lawson,PHI,LB,-,-,-,,
T350,Keli Lawson,FA,LB,-,-,-,,
T350,Eku Leota,ARI,LB,-,-,-,,
T350,Cody Lindenberg,LV,LB,-,-,-,,
T350,Marist Liufau,DAL,LB,-,-,-,,
T350,Damon Lloyd,FA,LB,-,-,-,,
T350,Devin Lloyd,CAR,LB,-,-,-,,
T350,David Long,FA,LB,-,-,-,,
T350,Kyle Louis,MIA,LB,-,-,-,,
T350,Jesse Luketa,NE,LB,-,-,-,,
T350,Frankie Luvu,WAS,LB,-,-,-,,
T350,Blake Lynch,FA,LB,-,-,-,,
T350,Nate Lynn,FA,LB,-,-,-,,
T350,Khalil Mack,LAC,LB,-,-,-,,
T350,Boye Mafe,CIN,LB,-,-,-,,
T350,Jordan Magee,WAS,LB,-,-,-,,
T350,DeAngelo Malone,ATL,LB,-,-,-,PUP-P,Undisclosed
T350,Marte Mapu,HOU,LB,-,-,-,,
T350,Chandler Martin,FA,LB,-,-,-,,
T350,Jacob Martin,TEN,LB,-,-,-,,
T350,Josh Martin,FA,LB,-,-,-,,
T350,Nick Martin,SF,LB,-,-,-,,
T350,Bam Martin-Scott,CAR,LB,-,-,-,,
T350,Easton Mascarenas-Arnold,CLE,LB,-,-,-,,
T350,Luke Masterson,FA,LB,-,-,-,,
T350,Tyler Matakevich,FA,LB,-,-,-,,
T350,Ochaun Mathis,FA,LB,-,-,-,,
T350,Wayne Matthews,CHI,LB,-,-,-,,
T350,Kana'i Mauga,FA,LB,-,-,-,,
T350,Francisco Mauigoa,NYJ,LB,-,-,-,Ques,Neck
T350,Dorian Mausi,TEN,LB,-,-,-,,
T350,Albert McClellan,FA,LB,-,-,-,,
T350,Marcelino McCrary-Ball,NYJ,LB,-,-,-,,
T350,Dasan McCullough,DEN,LB,-,-,-,,
T350,Cooper McDonald,KC,LB,-,-,-,,
T350,Isaiah McDuffie,GB,LB,-,-,-,,
T350,Micah McFadden,NYG,LB,-,-,-,,
T350,Cameron McGrone,LV,LB,-,-,-,,
T350,Derrick McLendon,FA,LB,-,-,-,,
T350,Jalen McLeod,JAX,LB,-,-,-,,
T350,Raekwon McMillan,FA,LB,-,-,-,,
T350,Kain Medrano,WAS,LB,-,-,-,,
T350,Akheem Mesidor,LAC,LB,-,-,-,,
T350,Matt Milano,FA,LB,-,-,-,,
T350,Ventrell Miller,JAX,LB,-,-,-,,
T350,Smael Mondon,PHI,LB,-,-,-,,
T350,Jeremiah Moon,FA,LB,-,-,-,,
T350,Trey Moore,MIA,LB,-,-,-,,
T350,Nicholas Morrow,FA,LB,-,-,-,,
T350,Arron Mosby,GB,LB,-,-,-,,
T350,C.J. Mosley,FA,LB,-,-,-,,
T350,Darius Muasau,NYG,LB,-,-,-,,
T350,Jamil Muhammad,FA,LB,-,-,-,,
T350,Chad Muma,NE,LB,-,-,-,,
T350,Red Murdock,DEN,LB,-,-,-,,
T350,Caleb Murphy,NYG,LB,-,-,-,,
T350,Gabriel Murphy,FA,LB,-,-,-,,
T350,Kenneth Murray,FA,LB,-,-,-,,
T350,Tanner Muse,FA,LB,-,-,-,,
T350,Carl Nassib,FA,LB,-,-,-,,
T350,Elias Neal,LAR,LB,-,-,-,,
T350,Anthony Nelson,TB,LB,-,-,-,,
T350,Garrett Nelson,FA,LB,-,-,-,,
T350,Yannick Ngakoue,FA,LB,-,-,-,,
T350,Ben Niemann,FA,LB,-,-,-,,
T350,Nick Niemann,GB,LB,-,-,-,,
T350,Maema Njongmeta,CAR,LB,-,-,-,,
T350,Bryce Notree,FA,LB,-,-,-,,
T350,Trevor Nowaske,DET,LB,-,-,-,,
T350,Uchenna Nwosu,SEA,LB,-,-,-,,
T350,Patrick O'Connell,SEA,LB,-,-,-,,
T350,Connor O'Toole,SEA,LB,-,-,-,,
T350,Namdi Obiazor,NE,LB,-,-,-,,
T350,Amen Ogbongbemiga,FA,LB,-,-,-,,
T350,Adetokunbo Ogundeji,FA,LB,-,-,-,,
T350,David Ojabo,MIA,LB,-,-,-,,
T350,Azeez Ojulari,ATL,LB,-,-,-,,
T350,BJ Ojulari,ARI,LB,-,-,-,,
T350,Bobby Okereke,FA,LB,-,-,-,,
T350,Ogbo Okoronkwo,FA,LB,-,-,-,,
T350,Oluwafemi Oladejo,TEN,LB,-,-,-,,
T350,Collin Oliver,GB,LB,-,-,-,,
T350,Segun Olubi,LV,LB,-,-,-,,
T350,Foyesade Oluokun,JAX,LB,-,-,-,,
T350,Joshua Onujiogu,FA,LB,-,-,-,,
T350,Anfernee Orji,NYG,LB,-,-,-,,
T350,K.C. Ossai,HOU,LB,-,-,-,,
T350,DeMarvion Overshown,DAL,LB,-,-,-,,
T350,Odafe Oweh,WAS,LB,-,-,-,,
T350,Jeremiah Owusu-Koramoah,CLE,LB,-,-,-,PUP-R,Neck
T350,Ivan Pace,MIN,LB,-,-,-,,
T350,Owen Pappoe,ARI,LB,-,-,-,,
T350,T.J. Parker,BUF,LB,-,-,-,,
T350,Micah Parsons,GB,LB,-,-,-,PUP-P,Knee - ACL
T350,Langston Patterson,DAL,LB,-,-,-,,
T350,Chris Paul,SEA,LB,-,-,-,,
T350,James Pearce,ATL,LB,-,-,-,,
T350,Harold Perkins,ATL,LB,-,-,-,,
T350,Denzel Perryman,LAC,LB,-,-,-,,
T350,Darryl Peterson,LAR,LB,-,-,-,,
T350,Del'Shawn Phillips,LAC,LB,-,-,-,,
T350,Jacob Phillips,FA,LB,-,-,-,Ques,Biceps
T350,Jaelan Phillips,CAR,LB,-,-,-,,
T350,Jason Pierre-Paul,FA,LB,-,-,-,,
T350,Anthony Pittman,FA,LB,-,-,-,,
T350,Elijah Ponder,NE,LB,-,-,-,,
T350,Bumper Pool,FA,LB,-,-,-,,
T350,Marcus Porter,FA,LB,-,-,-,,
T350,Mani Powell,TEN,LB,-,-,-,,
T350,Germaine Pratt,FA,LB,-,-,-,,
T350,Isaiah Pryor,FA,LB,-,-,-,,
T350,Alani Pututau,FA,LB,-,-,-,,
T350,Jack Pyburn,TB,LB,-,-,-,,
T350,Shaquille Quarterman,FA,LB,-,-,-,,
